Student_ID,Student_Name,Attendance,Study_Hours_per_Day,Internal_marks,Assignments_Avg,Previous_preformance,Performance
S1000,Omar,97.36,2.06,59.61,73.69,73.4,AVERAGE
S1001,Maria,97.71,5.42,74,74.23,88,GOOD
S1002,Ahmed,99.52,2.48,63.85,85.85,4.7,AVERAGE
S1003,Omar,90.38,5.1,44.44,68.1,4.2,AVERAGE
S1004,John,59.41,2.66,61.77,67.66,64.3,AVERAGE
S1005,Liam,60.6,5.06,64.48,87.85,54.8,AVERAGE
S1006,Ahmed,67.01,4.42,93.74,89,15.5,AVERAGE
S1007,Ahmed,65.91,3.34,59.47,50.72,54.8,AVERAGE
S1008,Omar,97.83,3.62,62.75,57.19,97.4,GOOD
S1009,Sara,89.45,1.88,86.97,60.65,63.1,AVERAGE
S1010,John,86.2,1.58,85.54,67.58,44.9,AVERAGE
S1011,Omar,59.3,4.58,87.9,64.57,82.8,GOOD
S1012,John,95.48,5.24,97.23,83.43,21.3,GOOD
S1013,John,91.39,4.6,87.73,91.41,41.4,GOOD
S1014,Liam,58.18,5.56,64.46,59.6,52.8,AVERAGE
S1015,Ahmed,93.56,5.46,89.29,78.15,50.5,GOOD
S1016,Maria,63.61,4.9,70.52,68.39,92.1,GOOD
S1017,Liam,54.04,5.5,56.66,75.29,29.3,AVERAGE
S1018,Liam,82.84,1.84,58.18,81.04,5.7,AT RISK
S1019,John,82.69,4.66,53.43,94.68,91.6,GOOD
S1020,Emma,54.75,4.76,48.7,59.61,21.7,AT RISK
S1021,Ahmed,65.94,1.76,51.07,54.35,37.9,AT RISK
S1022,Sara,99.64,5.54,43.79,81.36,53.1,AVERAGE
S1023,Liam,83.92,1.04,93.31,69.71,97.6,GOOD
S1024,Maria,86.5,3.18,95.86,58.15,53.5,AVERAGE
S1025,Emma,60.65,1.1,75.21,55.85,44.8,AVERAGE
S1026,Emma,53.94,3.62,90.43,77.95,58.4,AVERAGE
S1027,Sara,63.85,3.06,51.01,65.02,97.1,AVERAGE
S1028,Liam,62.44,4.12,94.1,99.87,81.8,GOOD
S1029,Maria,61.73,4.84,70.38,70.3,16.9,AVERAGE
S1030,Ahmed,59.64,4.84,44.03,60.61,80.3,AVERAGE
S1031,Ali,78.74,4.62,48.48,81.44,84.1,AVERAGE
S1032,Maria,66.41,1.5,58.54,62.21,69.1,AVERAGE
S1033,Sara,91.02,3.08,42.61,74.7,65.7,AVERAGE
S1034,Emma,59.2,5.08,58.56,74.13,44.1,AVERAGE
S1035,Ahmed,73.23,4.28,43.6,72.68,64.2,AVERAGE
S1036,Maria,50.68,4.4,54.16,89.8,73.8,AVERAGE
S1037,Ali,74.08,2.14,55.94,60.83,12.3,AT RISK
S1038,Ali,52.79,2.62,99.66,95.22,25.7,AVERAGE
S1039,John,98.89,5.78,54.13,89.57,19.4,AVERAGE
S1040,John,89.53,5.24,54.35,66.66,84.1,GOOD
S1041,Omar,74.51,1.82,81.21,59.03,68,AVERAGE
S1042,Sara,54.33,3.72,91.56,63.98,45.1,AVERAGE
S1043,Liam,79.62,3.46,63.22,66.63,82.6,AVERAGE
S1044,Maria,87.94,3.22,92.54,77.85,71.7,GOOD
S1045,Maria,59.54,3.36,60.41,52.32,91.4,AVERAGE
S1046,Liam,78.41,4.22,51.82,95.72,7.7,AVERAGE
S1047,Omar,90.71,5.84,59.78,54.93,50.9,AVERAGE
S1048,Emma,88.41,5.38,76.56,63.96,70.7,GOOD
S1049,Emma,90.15,5.38,62.03,55.46,20.7,AVERAGE
S1050,Omar,93.97,4.52,80.37,62.83,32.7,AVERAGE
S1051,Emma,96.88,1.08,54.22,91.88,41.9,AVERAGE
S1052,John,70.28,3.2,82.06,80.76,79.4,GOOD
S1053,Maria,78.44,3.56,60.85,61.37,49.4,AVERAGE
S1054,Omar,89.53,5.22,67.35,93.59,49.3,GOOD
S1055,Maria,84.86,5.62,73.46,90.04,43.1,GOOD
S1056,Liam,99.78,3.26,81.17,87.68,22.9,AVERAGE
S1057,Ali,50.68,2.5,54.32,92.38,92.3,AVERAGE
S1058,John,67.76,2.68,90.16,80.98,31.8,AVERAGE
S1059,Ahmed,64.05,3.9,83.31,75.07,56.7,AVERAGE
S1060,John,63.12,2.38,54.05,68.7,14.9,AT RISK
S1061,Omar,61.13,5.56,98.5,61.19,43.4,AVERAGE
S1062,Ahmed,85.46,3.1,79.89,77.87,90.4,GOOD
S1063,Ali,54.24,5.96,67.15,94.47,99.5,GOOD
S1064,Omar,87.08,1.54,49.45,79.7,36.2,AVERAGE
S1065,Sara,84.67,1.94,71.99,95.98,15.4,AVERAGE
S1066,Maria,62.54,3.56,49.89,67.85,31.4,AT RISK
S1067,Ali,62.64,5.34,65.77,84.76,32.7,AVERAGE
S1068,Maria,81.44,2.76,64.52,82.43,64.5,AVERAGE
S1069,Emma,88.11,5.18,83.2,83.52,49.6,GOOD
S1070,Sara,93.82,3.12,51.54,82.25,76.8,AVERAGE
S1071,Sara,92.61,5.26,89.31,61.08,70.1,GOOD
S1072,Ali,98.24,2.38,59.57,57.18,25.1,AVERAGE
S1073,Sara,79.07,3.36,66.64,98.93,78.4,GOOD
S1074,Ahmed,95.43,2.4,86.34,52.26,84.7,GOOD
S1075,Sara,90.43,2.08,77.52,73.39,59.8,AVERAGE
S1076,Maria,94.73,3.1,58.48,71.25,92.8,GOOD
S1077,Maria,50.58,2.68,63.17,68,78.3,AVERAGE
S1078,Omar,98.3,4.94,58.35,89.1,59.5,GOOD
S1079,Maria,73.68,4.74,75.69,87.27,90.6,GOOD
S1080,Omar,89.91,2.8,59.96,95.26,60,AVERAGE
S1081,Maria,56.36,5.96,83.54,69.77,52.1,AVERAGE
S1082,Ahmed,69.8,5.86,74.79,78.21,35.6,AVERAGE
S1083,Liam,63.57,5.58,48.74,94.62,88.3,GOOD
S1084,Omar,64.58,3.94,58.62,99.69,12.3,AVERAGE
S1085,John,56.16,3.06,53.29,98.46,47.4,AVERAGE
S1086,Emma,90.29,2.56,63.42,85.89,53.7,AVERAGE
S1087,Ali,50.46,1.08,70.96,57.16,55.5,AVERAGE
S1088,Maria,65.63,4.16,70.41,51.16,65.2,AVERAGE
S1089,Sara,58.72,3.76,85.27,91.26,50.6,AVERAGE
S1090,Liam,79.45,4.14,51.35,92.05,25.7,AVERAGE
S1091,Maria,62.71,3.88,96.79,87.32,85.7,GOOD
S1092,Sara,62.95,1.68,60.57,64,65.8,AVERAGE
S1093,Emma,74.42,4.48,58.01,81.99,85.8,GOOD
S1094,Emma,82.63,2.8,81.11,65.81,27.6,AVERAGE
S1095,Emma,56.07,3.58,88.33,72.53,63.7,AVERAGE
S1096,Sara,58.78,2.82,62.71,69.12,71.4,AVERAGE
S1097,Maria,62.36,1.1,84.81,95.68,38.3,AVERAGE
S1098,Emma,98.69,5.38,93.02,61.71,81.2,GOOD
S1099,Ahmed,69.86,1.74,86.01,78.88,0.3,AVERAGE
S1100,Omar,79.95,3.92,42.05,68.05,59.5,AVERAGE
S1101,Sara,62.08,5.42,89.64,83.15,61.4,GOOD
S1102,Sara,74.52,2.1,86.47,78.23,53.4,AVERAGE
S1103,Maria,53.71,3.06,80.16,96.2,63,AVERAGE
S1104,Sara,51.74,2.88,85.6,55.08,16.7,AT RISK
S1105,Sara,73.44,1.44,98.77,61.03,68.5,AVERAGE
S1106,Emma,69.93,3.12,65.87,88.32,33.6,AVERAGE
S1107,Maria,56.84,3.4,44.03,68.44,45.2,AVERAGE
S1108,Emma,84.38,1.14,67.65,58.29,33.3,AVERAGE
S1109,Omar,99.65,3.44,42.79,75.17,47.4,AVERAGE
S1110,Liam,69.78,1.46,57.66,82.61,62.2,AVERAGE
S1111,Omar,81.23,5.46,75.21,52.24,83.8,GOOD
S1112,Liam,98.15,4.26,58.58,64.58,48.3,AVERAGE
S1113,Emma,91.58,1.28,81.12,90.47,32.3,AVERAGE
S1114,Omar,73.18,5.14,89.32,76.01,48.8,GOOD
S1115,Maria,86.87,2.8,65.23,51.77,68.9,AVERAGE
S1116,Ali,56.41,2.12,94.01,64.1,34.7,AVERAGE
S1117,Emma,75.61,2.26,44.79,81.96,41.4,AVERAGE
S1118,Liam,63.95,3.98,90.41,59.97,56.3,AVERAGE
S1119,Ahmed,58.06,1.4,89.71,91.37,29.4,AVERAGE
S1120,Liam,71.31,1.3,59.32,83.83,20.9,AT RISK
S1121,Ahmed,56.55,4.14,57.92,73.57,14,AT RISK
S1122,Sara,84.95,5.9,58.31,95.78,35.3,AVERAGE
S1123,Omar,72.81,3.42,88.68,69.59,4.8,AVERAGE
S1124,Ahmed,76.56,3.06,89.9,61.75,58.3,AVERAGE
S1125,Liam,57.32,5.74,59.78,83.07,17.6,AVERAGE
S1126,Sara,56.99,2.2,75.56,78.66,37.7,AVERAGE
S1127,Ali,79.17,2.2,48.34,66.76,26.9,AT RISK
S1128,Maria,99.25,5.52,68.13,67.18,63,GOOD
S1129,Maria,54.81,4.24,99.93,69.91,85,GOOD
S1130,Maria,64.29,1.26,49.53,64.56,63.3,AVERAGE
S1131,Ahmed,93.47,4.36,96.85,85.51,54.3,GOOD
S1132,Ali,53.61,5.1,89.46,82.57,66.9,GOOD
S1133,Ahmed,93.79,2.36,98.33,72.04,3,AVERAGE
S1134,Omar,76.21,2.92,50.77,69.89,12.3,AT RISK
S1135,Ahmed,70.41,1.98,52.81,68.25,9.5,AT RISK
S1136,Ali,65.48,4.16,41.01,64.17,9.8,AT RISK
S1137,Ali,64.86,4.32,83.48,54.28,26,AVERAGE
S1138,Omar,65.29,1.34,78.65,63.41,53.2,AVERAGE
S1139,Ali,94.24,4.38,50.68,66.06,11.5,AVERAGE
S1140,Liam,86.19,4.3,87.47,77.38,93.5,GOOD
S1141,Ali,83.49,1.18,57.95,88.69,85.4,AVERAGE
S1142,Maria,89.94,3.78,48.1,69.79,97.2,GOOD
S1143,Liam,62.86,4.06,65.35,97.24,4.3,AVERAGE
S1144,Liam,80.9,3.16,45.46,91.37,85.1,AVERAGE
S1145,Omar,73,5.5,55.79,99.24,80.4,GOOD
S1146,John,89.12,2.64,62.28,93.81,90.2,GOOD
S1147,John,65.46,1.34,91.11,80.84,52.8,AVERAGE
