Student_ID,Student_Name,Attendance,Study_Hours_per_Day,Internal_marks,Assignments_Avg,Previous_preformance,Performance
S1000,Amrita,72.77,2.06,48.2,60.83,15.43,AVERAGE
S1001,Malar,55.94,3.3,87.95,65.26,47.27,AVERAGE
S1002,Bharath,78.46,2.68,99.29,99.08,23.18,GOOD
S1003,Rahul,57.82,1.19,61.62,45.05,68.7,AVERAGE
S1004,Rahul,53.05,3.43,91.92,46.7,71.49,AVERAGE
S1005,Ramya,74.93,4.28,85.75,66.12,0.82,AVERAGE
S1006,Amrita,82.77,1.26,94.7,50.15,95.42,GOOD
S1007,Harini,92.71,3.84,65.46,81.09,92.5,GOOD
S1008,Diya,89.14,2.55,46.08,61.64,13.19,AVERAGE
S1009,Ananya,92.86,1.2,47.1,90.77,47.78,AVERAGE
S1010,Srinivas,88,1.48,85.79,84.92,20.9,GOOD
S1011,Anusha,85.16,4.58,91.8,68.25,96.39,GOOD
S1012,Kavin,50.51,3.7,67.42,90.7,56.6,AVERAGE
S1013,Mahesh,81.31,5.78,43.57,46.05,70.02,AVERAGE
S1014,Janani,56.02,4.41,44,74.87,97.79,AVERAGE
S1015,Monisha,52.93,5.81,75.92,76.31,67.3,GOOD
S1016,Sneha,57.82,2.43,95.12,54.76,87.08,GOOD
S1017,Aryan,91.16,3.91,63.98,42.98,24.06,AVERAGE
S1018,Preethi,87.19,3.79,79.04,72.11,22.94,AVERAGE
S1019,Riya,97.44,3.62,72.52,70.82,44.12,GOOD
S1020,Shreya,98.95,5.49,93.39,79.22,88.15,EXCELLENT
S1021,Naveen,94.66,3.64,89.94,52.78,3.91,AVERAGE
S1022,Deepika,56.65,2.32,51.96,50.78,44.14,AVERAGE
S1023,Surya,93.92,4.51,80.65,98.67,82.49,EXCELLENT
S1024,Monisha,91.93,2.32,90.85,46.82,17.75,AVERAGE
S1025,Aishwarya,93.55,1.42,95.81,99.96,61.57,GOOD
S1026,Pooja,57.58,3.94,75.4,83.2,7,AVERAGE
S1027,Pradeep,55.84,1.69,50.55,77.76,1.04,AT RISK
S1028,Tanvi,96.19,4.57,73.49,60.39,31.89,GOOD
S1029,Rakesh,58.69,3.19,79.95,92.07,80.56,GOOD
S1030,Riya,68.43,5.33,56.35,94.6,4.13,AVERAGE
S1031,Divya,72.8,3.02,98.38,83.31,36.48,GOOD
S1032,Ananya,56.22,2.98,53.76,82.59,72.86,AVERAGE
S1033,Varun,51.03,3.14,94.68,69.59,36.91,AVERAGE
S1034,Sahana,99.7,4.57,65.51,44.67,47.88,AVERAGE
S1035,Akshara,93.83,1.78,40.03,99.94,50.03,AVERAGE
S1036,Ramya,95.62,2.71,72.6,40.93,90.8,GOOD
S1037,Pradeep,64.23,2.34,77.7,69.72,87.59,GOOD
S1038,Jatin,61.01,2.94,92.16,62.03,6.36,AVERAGE
S1039,Anirudh,71.29,5.56,72.43,86.57,69.22,GOOD
S1040,Chetan,72.67,4.16,45.65,84.15,54.29,AVERAGE
S1041,Madhavan,50.28,3.52,95.61,77.68,35.45,AVERAGE
S1042,Hari,88.96,1.65,73.92,44.48,49.25,AVERAGE
S1043,Mohan,99.83,3.88,56.29,54.21,87.98,GOOD
S1044,Akshara,76.43,4.99,93.93,45.65,77.31,GOOD
S1045,Anusha,69.41,2.8,47.25,98.74,56.81,AVERAGE
S1046,Rakesh,69.64,5.51,45.85,47.67,17.56,AVERAGE
S1047,Sanjana,54.8,2.76,72.1,98.03,61.87,AVERAGE
S1048,Dharani,63.31,1.8,77.49,46.76,49.8,AVERAGE
S1049,Malar,75.11,5.14,70.66,91.73,44.69,GOOD
S1050,Madhavan,71.59,3.83,95.74,74.48,94.38,GOOD
S1051,Dev,77.25,3.58,55.77,89.9,99.26,GOOD
S1052,Nandini,92.45,5.63,99.41,78.04,95.14,EXCELLENT
S1053,Rohan,61.26,5.12,41.16,86.13,73.89,AVERAGE
S1054,Sanjay,51.38,5.96,47.11,83.85,59.89,AVERAGE
S1055,Aditya,51.91,4.46,51.14,55.61,31.94,AVERAGE
S1056,Tanvi,56.71,3.9,44.77,96.1,94.72,AVERAGE
